epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.75967,1.07077,3.72746,1.03532,0.03229,0.29303,0.06007,0.03906,0.87208,3.79339,0.87955,0.000285714,0.000285714,0.000285714
2,18.7472,1.00683,3.11926,0.95318,0.04017,0.44694,0.11626,0.07492,0.98731,3.65326,0.88163,0.000612919,0.000612919,0.000612919
3,28.6815,1.1036,2.7184,0.95754,0.03972,0.5098,0.16697,0.09855,1.02183,3.40893,0.90431,0.000933524,0.000933524,0.000933524
4,38.2947,1.0908,2.39766,0.97581,0.04264,0.64002,0.23221,0.16075,1.14469,3.04044,0.93446,0.0009703,0.0009703,0.0009703
5,49.4221,1.06319,2.16704,0.9688,0.63922,0.20396,0.28796,0.21955,1.17671,2.72698,0.94112,0.0009604,0.0009604,0.0009604
6,61.1884,1.12585,1.96642,1.00577,0.55471,0.30019,0.30317,0.23672,1.16533,2.44367,0.92038,0.0009505,0.0009505,0.0009505
7,74.2476,1.12417,1.86762,1.00321,0.58321,0.31609,0.3416,0.26482,1.10536,2.26744,0.9038,0.0009406,0.0009406,0.0009406
8,86.9751,1.08224,1.69012,0.98547,0.58321,0.31609,0.3416,0.26482,1.10536,2.26744,0.9038,0.0009307,0.0009307,0.0009307
9,98.0016,1.02427,1.50916,0.94531,0.79439,0.31665,0.42518,0.29913,1.07265,2.11537,0.89466,0.0009208,0.0009208,0.0009208
10,108.867,1.03957,1.42773,0.95452,0.63985,0.35076,0.46732,0.3439,1.08994,2.0031,0.8909,0.0009109,0.0009109,0.0009109
11,119.855,1.03831,1.37039,0.94169,0.6602,0.39143,0.50984,0.36765,1.09481,1.76563,0.87559,0.000901,0.000901,0.000901
12,131.188,1.00014,1.31678,0.94326,0.57801,0.51252,0.53567,0.39496,1.07179,1.54131,0.86284,0.0008911,0.0008911,0.0008911
13,141.901,1.00843,1.25989,0.9469,0.62062,0.55099,0.55285,0.41419,1.08786,1.38419,0.8714,0.0008812,0.0008812,0.0008812
14,152.678,0.98532,1.17616,0.93714,0.67487,0.56131,0.5547,0.42157,1.04228,1.32375,0.86962,0.0008713,0.0008713,0.0008713
15,163.562,0.97773,1.16319,0.91671,0.71785,0.55347,0.5663,0.43527,0.99869,1.26576,0.86231,0.0008614,0.0008614,0.0008614
16,174.277,0.963,1.11842,0.93248,0.71785,0.55347,0.5663,0.43527,0.99869,1.26576,0.86231,0.0008515,0.0008515,0.0008515
17,185.143,0.93497,1.08662,0.92486,0.71204,0.59031,0.56706,0.4398,0.98067,1.19212,0.85828,0.0008416,0.0008416,0.0008416
18,196.046,0.96913,1.0737,0.92795,0.70188,0.61077,0.56678,0.43198,1.0109,1.15333,0.86396,0.0008317,0.0008317,0.0008317
19,206.833,0.92156,0.98917,0.90236,0.71701,0.62168,0.58666,0.45267,0.97719,1.06432,0.85908,0.0008218,0.0008218,0.0008218
20,218.235,0.93013,1.01136,0.91428,0.75645,0.64665,0.64573,0.4914,0.93389,0.99179,0.85502,0.0008119,0.0008119,0.0008119
21,229.324,0.8986,0.96848,0.91241,0.7982,0.64034,0.67476,0.52169,0.92713,0.95333,0.85342,0.000802,0.000802,0.000802
22,240.517,0.91658,0.94025,0.90421,0.82978,0.65236,0.71034,0.55192,0.89287,0.90636,0.85366,0.0007921,0.0007921,0.0007921
23,251.162,0.8629,0.90513,0.89988,0.61498,0.70426,0.72307,0.56481,0.89073,0.89473,0.85447,0.0007822,0.0007822,0.0007822
24,262.26,0.90222,0.94049,0.90141,0.61498,0.70426,0.72307,0.56481,0.89073,0.89473,0.85447,0.0007723,0.0007723,0.0007723
25,272.739,0.86876,0.88445,0.90574,0.63491,0.68009,0.73308,0.57623,0.88099,0.88968,0.85254,0.0007624,0.0007624,0.0007624
